id,url,plant_id,latin_name,phytophthora root rot,determinate habit,plant habit,blossom end shape,calyx constriction,calyx margin,calyx shape,fasciculated,filament color,flowers per axil,fruit corkiness,fruit length,fruit neck constriction,fruit pods per node,fruit position,fruit shape,fruit weight,fruit width,immature fruit color,leaf pubescence,leaf texture,locule number,mature fruit color,node anthocyanin,pedicel position at anthesis,peduncle insertion,seed color,stem anthocyanin,stem color,stem number,stem pubescence,stigma exsertion,days to maturity,accession uniformity,fruit persistance,fruit set,pungency,plant height,plant width,anther color,corolla color,corolla spots,cotyledon color,peduncle length,wall thickness,meloidogyne hapla egg,meloidogyne hapla gall,degree of pungency,bacterial leaf spot,cucumber mosiac virus,tobacco etch virus,tobacco mosaic virus,verticillium wilt,verticillium wilt isolate (vdca59),verticillium wilt isolate (vdcf45),anthocyanin immature fruit,capsaicin content,dihydrocpasaicin content,total capsaicinoid content,percent dry weight,beet curly top virus,phytophthora,dwarfism,flower angle,curly top virus,flower habit,fruit color_phy,fruit diameter,fruit surface,immature color,spines,maturation,leaf surface,male sterility,mosaic virus complex,alfalfa mosaic virus,anthracnose,alpha-linoleic acid (18:3alph),arachidic acid (20:0),behenic acid (22:0),gamma-linoleic acid (18:3gam),linoleic acid (18:2),myristic acid (14:0),oleic acid (18:1),palmitic acid (16:0),palmitoleic acid (16:1),seed oil percentage,stearic acid (18:0),seed shape,seed surface,photoperiod,root knot nematode,southern blight,growth habit,bract length in millimeters,branching index,inflorescence density,terminal inflorescence,hundred seed weight,number of seeds per gram
1136012,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136012,PI 148631,Capsicum annuum L.,9.0,,,,,,1.0,,,,,4.0,,1.0,1.0,4.0,,3.0,,,,,2.0,,,,,,,,,,5.0,,,4.0,,45.0,45.0,,,,,,,5.0,5.0,5.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336543,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1336543,PI 441607,Capsicum chinense Jacq.,,,,,,,2.0,,,,,3.0,,3.0,1.0,4.0,2.7,2.0,,,,,2.0,,,,,,,,,,1.0,,,5.0,,70.0,70.0,,,,,,,,,5.0,,,,,,,,,972.12,199.06,1171.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224942,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1224942,PI 297496,Capsicum annuum L.,8.0,,7.0,1.0,,3.0,1.0,,1.0,1.0,0.0,10.0,,1.0,1.0,1.0,,2.0,2.0,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,9.0,3.0,7.0,5.0,,0.0,6.0,1.0,45.0,60.0,3.0,1.0,,,1.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1573416,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1573416,PI 640808,Capsicum annuum L.,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132796,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1132796,PI 125804,Capsicum annuum L.,8.0,,,,,,2.0,,,,,3.0,,1.0,,3.0,,3.0,,,,,2.0,,,,,,,,,,8.0,,,3.0,,30.0,,,,,,,,5.0,5.0,5.0,9.0,9.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336551,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1336551,PI 441615,Capsicum chinense Jacq.,,,,,,,2.0,,,,,7.0,,3.0,1.0,4.0,4.3,2.0,,,,,2.0,,,,,,,,,,1.0,,,5.0,,50.0,70.0,,,,,,,,,5.0,,,,,,,,,127.04,73.14,200.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133246,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1133246,PI 127444,Capsicum annuum L.,5.0,,,,,,1.0,,,,,8.0,,1.0,1.0,1.0,,3.0,,,,,2.0,,,,,,,,,,8.0,,,4.0,,42.0,,,,,,,,6.0,6.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1284047,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1284047,PI 379155,Capsicum annuum L.,9.0,,,,,,2.0,,,,,10.0,,1.0,1.0,4.0,,4.0,,,,,2.0,,,,,,,,,,5.0,,,5.0,,70.0,50.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1284046,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1284046,PI 379154,Capsicum annuum L.,,,,,,,2.0,,,,,16.0,,1.0,1.0,1.0,,4.0,,,,,2.0,,,,,,,,,,5.0,,,5.0,,40.0,70.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046526,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1046526,Grif 9085,Capsicum annuum L.,8.0,,9.0,1.0,,7.0,,,2.0,1.0,0.0,,,,1.0,1.0,,,2.0,,1.0,2.0,,1.0,5.0,1.0,1.0,,1.0,9.0,5.0,9.0,,,0.0,,1.0,,,3.0,1.0,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048247,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1048247,Grif 9374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906339,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1906339,PI 666455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047615,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1047615,Grif 9276,Capsicum chinense Jacq.,,,9.0,1.0,1.0,5.0,,,2.0,2.0,0.0,5.13,1.0,,1.0,4.0,6.1,2.15,1.0,7.0,7.0,5.0,5.0,,9.0,3.0,1.0,,1.0,1.0,7.0,5.0,,7.0,,9.0,1.0,,,3.0,2.0,,1.0,2.0,,,,,,,,,,,,1.0,78.12,18.88,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196624,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1196624,PI 257186,Capsicum baccatum L. var. pendulum (Willd.) Eshbaugh,,,5.0,1.0,,3.0,2.0,1.0,1.0,1.0,0.0,15.0,1.0,1.0,1.0,1.0,10.5,4.0,2.0,0.0,1.0,3.0,2.0,1.0,9.0,3.0,1.0,1.0,1.0,5.0,1.0,3.0,8.0,9.0,1.0,3.0,1.0,85.0,,1.0,1.0,2.0,1.0,4.0,0.2,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277157,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1277157,PI 370006,Capsicum spp.,,,,5.0,1.0,5.0,1.0,,2.0,,0.0,4.0,,1.0,1.0,4.0,1.9,1.0,2.0,0.0,1.0,2.0,2.0,1.0,,,1.0,,,,1.0,5.0,8.0,9.0,1.0,5.0,1.0,60.0,70.0,3.0,3.0,,,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276041,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1276041,PI 368441,Capsicum annuum L.,9.0,,,,,,2.0,,,,,9.0,,1.0,1.0,6.0,,5.0,,,,,2.0,,,,,,,,,,1.0,,,5.0,,30.0,30.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047603,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1047603,Grif 9274,Capsicum chinense Jacq.,,,9.0,1.0,1.0,1.0,,,2.0,3.0,0.0,6.3,,,1.0,1.0,7.0,2.24,2.0,7.0,5.0,4.0,,,5.0,3.0,1.0,,1.0,1.0,7.0,7.0,,9.0,,3.0,1.0,,,3.0,1.0,,1.0,3.0,,,,,,,,,,,,1.0,147.7,104.01,251.71,16.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135611,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1135611,PI 142833,Capsicum annuum L.,5.0,,,,,,2.0,,,,,8.0,,1.0,1.0,6.0,,5.0,,,,,2.0,,,,,,,,,,5.0,,,3.0,,65.0,75.0,,,,,,,5.0,5.0,1.0,9.0,9.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336501,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1336501,PI 441565,Capsicum baccatum L. var. pendulum (Willd.) Eshbaugh,,,,,,,1.0,,1.0,,,11.0,,1.0,1.0,1.0,,1.0,3.0,0.0,1.0,,2.0,1.0,,,,,,,3.0,5.0,9.0,9.0,,5.0,,110.0,110.0,1.0,1.0,2.0,,5.0,,,,5.0,,,,,,,,,35.7,15.1,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265282,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1265282,PI 355819,Capsicum chinense Jacq.,,,,,,,2.0,,,,,5.0,,1.0,1.0,,10.4,3.0,,,,,2.0,,,,,,,,,,9.0,,,5.0,,60.0,60.0,,,,,,,,,1.0,,,,,,,,,16.25,24.61,40.86,13.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165642,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1165642,PI 195302,Capsicum annuum L.,5.0,,,,,1.0,2.0,,1.0,1.0,0.0,5.0,,1.0,1.0,6.0,,2.0,2.0,0.0,5.0,3.0,2.0,1.0,5.0,5.0,1.0,,1.0,,0.0,5.0,8.0,1.0,,5.0,1.0,57.0,50.0,3.0,1.0,,1.0,2.0,,8.0,8.0,5.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1327738,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1327738,PI 432802,Capsicum annuum L.,,,,,,5.0,2.0,,1.0,,0.0,8.0,,,5.0,6.0,65.5,6.0,1.0,0.0,1.0,,2.0,,,,1.0,,1.0,,1.0,7.0,,9.0,0.0,,,,,3.0,1.0,,,5.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1573441,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1573441,PI 640821,Capsicum annuum L.,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265221,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1265221,PI 355717,Capsicum annuum L.,9.0,,,1.0,,5.0,2.0,1.0,1.0,,0.0,4.0,,1.0,9.0,2.0,8.5,3.0,3.0,0.0,1.0,2.0,5.0,1.0,,,1.0,,1.0,,3.0,5.0,5.0,7.0,0.0,9.0,1.0,45.0,40.0,3.0,1.0,,,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144000,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1144000,PI 167385,Capsicum annuum L.,9.0,,,,,,1.0,,1.0,1.0,0.0,13.0,,1.0,1.0,1.0,,3.0,2.0,,,,2.0,,7.0,3.0,1.0,,1.0,,,7.0,1.0,,,3.0,1.0,90.0,,,1.0,,1.0,4.0,,8.0,8.0,1.0,9.0,9.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132259,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1132259,PI 123166,Capsicum annuum L.,8.0,,,,,,2.0,,,,,5.0,,1.0,1.0,4.0,,2.0,,,,,2.0,,,,,,,,,,5.0,,,5.0,,45.0,,,,,,,,5.0,5.0,5.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106042,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1106042,PI 635844,Capsicum annuum L.,9.0,,,,,,,,,,,9.71,,,,,100.8,6.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1573247,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1573247,PI 640879,Capsicum annuum L.,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906403,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1906403,PI 666589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333497,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1333497,PI 438561,Capsicum annuum L.,9.0,,,,,,1.0,,,,,8.0,,1.0,1.0,1.0,,1.0,,,,,2.0,,,,,,,,,,5.0,,,5.0,,61.0,64.0,,,,,,,,,5.0,,,,,,,,,315.9,164.2,480.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1573261,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1573261,PI 640780,Capsicum annuum L.,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1275990,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1275990,PI 368390,Capsicum annuum L.,9.0,,,,,,2.0,,,,,8.0,,1.0,,1.0,,,,,,,2.0,,,,,,,,,,8.0,,,9.0,,45.0,30.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265273,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1265273,PI 355808,Capsicum frutescens L.,,,,,,,1.0,,,,,1.0,,1.0,9.0,,,1.0,,,,,2.0,,,,,,,,,,8.0,,,5.0,,130.0,80.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239944,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1239944,PI 322718,Capsicum annuum L.,9.0,,9.0,,,7.0,2.0,,1.0,1.0,0.0,5.0,,1.0,1.0,1.0,,2.0,2.0,,1.0,,2.0,1.0,,3.0,1.0,,1.0,9.0,5.0,9.0,5.0,,0.0,5.0,1.0,65.0,75.0,3.0,1.0,,1.0,5.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333597,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1333597,PI 438661,Capsicum annuum L.,2.0,,,,,,1.0,,,,,10.0,,1.0,,1.0,,1.0,,,,,2.0,,,,,,,,,,5.0,,,5.0,,60.0,80.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1573605,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1573605,PI 640863,Capsicum annuum L.,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333471,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1333471,PI 438535,Capsicum chinense Jacq.,,,,3.0,,7.0,2.0,1.0,1.0,,0.0,3.29,,,3.0,5.0,6.1,2.41,2.0,0.0,3.0,3.0,4.0,1.0,,,1.0,,,,1.0,5.0,8.0,9.0,1.0,,1.0,,,3.0,2.0,,,7.0,,,,,,,,,,,,,714.25,418.1,1132.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1327749,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1327749,PI 432813,Capsicum annuum L.,3.0,,5.0,9.0,,5.0,,,1.0,1.0,0.0,8.1,,,9.0,6.0,97.9,6.1,2.0,,1.0,4.0,2.0,1.0,7.0,7.0,1.0,,1.0,5.0,0.0,7.0,,,,,,,,3.0,1.0,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218550,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1218550,PI 288948,Capsicum annuum L.,9.0,,,,,,2.0,,,,,9.0,,1.0,1.0,4.0,,4.0,,,,,2.0,,,,,,,,,,5.0,,,4.0,,45.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047499,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1047499,Grif 9255,Capsicum frutescens L.,,,,3.0,,3.0,1.0,,1.0,,0.0,2.0,1.0,,9.0,4.0,0.7,1.0,2.0,0.0,1.0,2.0,,,,1.0,1.0,,1.0,,0.0,3.0,,9.0,0.0,,1.0,,,3.0,2.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906297,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1906297,PI 666414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218565,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1218565,PI 288964,Capsicum annuum L.,9.0,,5.0,1.0,,5.0,2.0,,1.0,1.0,0.0,15.0,,1.0,1.0,4.0,,10.0,2.0,,1.0,2.0,2.0,1.0,1.0,,1.0,,1.0,3.0,0.0,,5.0,,0.0,5.0,,70.0,,3.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906385,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1906385,PI 666494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265222,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1265222,PI 355718,Capsicum annuum L.,9.0,,,,,,2.0,,,,,11.0,,1.0,1.0,1.0,,6.0,,,,,2.0,,,,,,,,,,1.0,,,5.0,,42.0,56.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169319,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1169319,PI 200729,Capsicum baccatum L. var. pendulum (Willd.) Eshbaugh,,,7.0,5.0,,9.0,1.0,,1.0,1.0,0.0,8.0,,1.0,,1.0,5.8,1.0,2.0,0.0,1.0,4.0,2.0,1.0,7.0,,1.0,1.0,1.0,7.0,5.0,5.0,8.0,6.0,0.0,6.0,1.0,65.0,,1.0,1.0,2.0,1.0,9.0,0.2,5.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515295,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1515295,PI 593510,Capsicum annuum L.,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
