id,url,plant_id,latin_name,phytophthora root rot,plant habit,anther color,blossom end shape,calyx margin,corolla color,cotyledon color,filament color,flowers per axil,fruit corkiness,fruit position,fruit shape,immature fruit color,leaf texture,mature fruit color,node anthocyanin,peduncle insertion,peduncle length,seed color,stem color,stem number,stem pubescence,stigma exsertion,anthocyanin immature fruit,calyx shape,fasciculated,fruit length,fruit pods per node,fruit weight,fruit width,leaf pubescence,locule number,pedicel position at anthesis,days to maturity,accession uniformity,fruit persistance,fruit set,determinate habit,calyx constriction,fruit neck constriction,stem anthocyanin,pungency,plant height,plant width,wall thickness,degree of pungency,meloidogyne hapla egg,meloidogyne hapla gall,male sterility,verticillium wilt isolate (vdca59),verticillium wilt isolate (vdcf45),capsaicin content,dihydrocpasaicin content,total capsaicinoid content,corolla spots,flower angle,percent dry weight,beet curly top virus,alfalfa mosaic virus,dwarfism,bacterial leaf spot,cucumber mosiac virus,phytophthora,verticillium wilt
1015056,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1015056,Grif 1613,Capsicum pubescens Ruiz & Pav.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015064,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1015064,Grif 1614,Capsicum pubescens Ruiz & Pav.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015068,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1015068,Grif 1615,Capsicum pubescens Ruiz & Pav.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027272,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1027272,PI 635775,Capsicum annuum L.,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1028352,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1028352,Grif 12298,Capsicum annuum L.,9.0,9.0,3.0,1.0,5.0,1.0,1.0,1.0,,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,9.0,9.0,9.0,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1028355,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1028355,Grif 12299,Capsicum annuum L.,9.0,9.0,4.0,1.0,5.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,9.0,3.0,9.0,,,,,,,,,,1.0,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1028371,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1028371,Grif 12300,Capsicum annuum L.,9.0,7.0,3.0,1.0,5.0,1.0,1.0,1.0,,0.0,,1.0,2.0,1.0,2.0,,1.0,5.0,1.0,1.0,5.0,3.0,,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1028374,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1028374,Grif 12301,Capsicum annuum L.,9.0,5.0,3.0,1.0,5.0,1.0,1.0,1.0,,0.0,,,2.0,1.0,2.0,,1.0,5.0,1.0,1.0,5.0,7.0,9.0,,,1.0,,,,,,,9.0,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1028487,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1028487,Grif 12302,Capsicum annuum L.,7.0,7.0,3.0,1.0,,1.0,1.0,1.0,1.0,0.0,9.0,,2.0,1.0,2.0,,3.0,5.0,1.0,1.0,5.0,,,,,,,,,,,,7.0,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1031898,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1031898,PI 631151,Capsicum frutescens L.,,9.0,,2.0,1.0,,1.0,1.0,,0.0,9.0,1.0,2.0,3.0,2.0,,1.0,,1.0,1.0,5.0,1.0,6.0,,1.0,,1.6,2.0,0.2,0.5,3.0,2.0,,8.0,7.0,0.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1034496,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034496,PI 635776,Capsicum annuum L.,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034511,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034511,PI 635777,Capsicum annuum L.,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034526,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034526,PI 617081,Capsicum annuum L.,9.0,,3.0,1.0,7.0,1.0,,1.0,,0.0,1.0,1.0,2.0,1.0,,1.0,,7.0,1.0,1.0,,1.0,7.0,,1.0,1.0,11.5,,5.3,1.0,0.0,3.0,,,9.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
1034553,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034553,PI 635778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034554,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034554,PI 586661,Capsicum annuum L.,6.0,5.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,9.0,6.0,2.0,1.0,2.0,,,5.0,1.0,1.0,1.0,0.0,5.0,,2.0,,7.0,,16.1,6.0,0.0,3.0,7.0,,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034565,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034565,PI 635779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034567,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034567,PI 635780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034579,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034579,PI 592805,Capsicum annuum L.,,9.0,3.0,5.0,1.0,1.0,,1.0,1.0,0.0,9.0,3.0,2.0,1.0,2.0,1.0,5.0,5.0,1.0,1.0,1.0,0.0,9.0,,2.0,,1.7,1.0,8.1,3.2,0.0,3.0,9.0,1.0,9.0,1.0,9.0,,,,1.0,1.0,40.0,23.0,0.5,5.0,,,,,,,,,,,,,,,,,,
1034580,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034580,PI 635781,Capsicum annuum L.,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034608,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034608,PI 635782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034610,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034610,PI 635783,Capsicum annuum L.,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034622,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034622,PI 635784,Capsicum annuum L.,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.94,,12.2,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034623,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034623,PI 635785,Capsicum annuum L.,,,,,,,,,,,,,,,,,,,,,,,,,,,8.44,,91.1,5.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034636,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034636,PI 635786,Capsicum annuum L.,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034646,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034646,PI 635787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034660,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034660,PI 635788,Capsicum annuum L.,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034663,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034663,PI 635789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034686,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034686,PI 635790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034688,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034688,PI 617082,Capsicum annuum L.,9.0,,4.0,3.0,7.0,1.0,,1.0,,0.0,7.0,4.0,3.0,1.0,2.0,1.0,,5.0,1.0,1.0,,1.0,9.0,,1.0,,10.5,,19.5,3.0,0.0,2.0,,,9.0,0.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1034702,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034702,PI 635791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034712,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034712,PI 635792,Capsicum annuum L.,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034716,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034716,PI 617083,Capsicum annuum L.,9.0,,3.0,,7.0,1.0,,1.0,,0.0,9.0,6.0,2.0,1.0,2.0,,7.0,5.0,1.0,1.0,,1.0,5.0,,2.0,,7.0,,92.7,6.0,0.0,3.0,5.0,,9.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1034727,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034727,PI 635793,Capsicum annuum L.,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034728,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034728,PI 635794,Capsicum annuum L.,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.62,,103.0,6.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034742,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034742,PI 635795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034743,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034743,PI 635796,Capsicum annuum L.,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034757,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034757,PI 635797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034758,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034758,PI 586662,Capsicum annuum L.,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034771,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034771,PI 635798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034783,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034783,PI 603810,Capsicum annuum L.,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,5.0,,,,,,,,,,,,,,,,
1034785,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034785,PI 635799,Capsicum annuum L.,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034797,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034797,PI 586663,Capsicum annuum L.,9.0,5.0,2.0,9.0,5.0,1.0,1.0,1.0,1.0,0.0,,6.0,2.0,1.0,2.0,,9.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,7.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034798,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034798,PI 635800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034807,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034807,PI 635801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034821,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034821,PI 592806,Capsicum annuum L.,,9.0,3.0,9.0,1.0,2.0,,1.0,1.0,0.0,1.0,6.0,3.0,9.0,2.0,1.0,5.0,,1.0,,9.0,0.0,1.0,,1.0,,4.7,1.0,33.6,4.1,0.0,3.0,1.0,1.0,9.0,,9.0,,1.0,,1.0,,33.0,23.0,0.4,1.0,,,,,,,,,,,,,,,,,,
1034822,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034822,PI 592807,Capsicum annuum L.,,9.0,3.0,1.0,1.0,1.0,,1.0,1.0,0.0,5.0,1.0,4.0,1.0,2.0,1.0,5.0,,1.0,,9.0,0.0,5.0,1.0,2.0,,16.5,1.0,47.4,3.5,0.0,2.0,1.0,1.0,9.0,,9.0,,1.0,,1.0,,56.0,30.0,0.5,1.0,,,,,,,,,,,,,,,,,,
1034849,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034849,PI 592809,Capsicum annuum L.,1.0,9.0,2.0,9.0,1.0,1.0,,1.0,1.0,0.0,5.0,6.0,1.0,9.0,2.0,1.0,5.0,5.0,1.0,1.0,9.0,0.0,1.0,,1.0,,6.5,1.0,124.8,5.5,0.0,3.0,1.0,5.0,9.0,0.0,9.0,,,,,,42.0,25.0,0.5,1.0,,,1.0,,,,,,,,,,,,,,,
1034856,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034856,PI 635802,Capsicum annuum L.,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034864,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1034864,PI 635803,Capsicum annuum L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037233,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1037233,PI 635804,Capsicum annuum L.,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037366,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1037366,PI 635805,Capsicum annuum L.,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044520,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1044520,PI 586664,Capsicum annuum L.,3.0,7.0,3.0,,5.0,1.0,1.0,1.0,1.0,0.0,,4.0,3.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,5.0,3.0,9.0,,,,,,,,,,1.0,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1044521,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1044521,PI 635806,Capsicum annuum L.,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045365,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1045365,PI 586665,Capsicum annuum L.,4.0,9.0,4.0,5.0,1.0,1.0,,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,1.0,5.0,,1.0,,9.0,0.0,9.0,,1.0,,2.0,1.0,17.1,2.5,0.0,3.0,1.0,9.0,9.0,,9.0,,1.0,,,,20.0,18.0,0.4,1.0,,,,,,,,,,,,,,,,,,
1046455,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1046455,Grif 9072,Capsicum annuum L.,1.0,,3.0,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,,,1.0,2.0,1.0,5.0,5.0,1.0,1.0,,1.0,9.0,,,,,,,,,,1.0,,,0.0,,,,,,1.0,,,,,,,,5.0,3.0,,,,,,,,,,,,,
1046459,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1046459,Grif 9073,Capsicum annuum L.,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,
1046466,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1046466,PI 593515,Capsicum annuum L.,2.0,7.0,3.0,1.0,7.0,1.0,1.0,1.0,1.0,0.0,7.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,,9.0,3.0,9.0,,,,,,,,,2.0,7.0,,,0.0,,,,,,1.0,,,,,,,,4.0,5.0,,,,,,,,,,,,,
1046469,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1046469,Grif 9075,Capsicum annuum L.,,,3.0,,5.0,1.0,,1.0,,0.0,1.0,1.0,2.0,1.0,2.0,1.0,,3.0,1.0,1.0,,7.0,9.0,,1.0,,6.0,,2.1,1.0,5.0,2.0,,,9.0,0.0,,,1.0,,,1.0,,,,,,,,5.0,3.0,,,,,,,,,,,,,
1046477,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1046477,Grif 9076,Capsicum annuum L.,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046483,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1046483,Grif 9077,Capsicum annuum L.,9.0,3.0,3.0,,7.0,1.0,1.0,1.0,1.0,0.0,,4.0,2.0,1.0,2.0,,5.0,5.0,1.0,1.0,5.0,0.0,5.0,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
1046488,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1046488,Grif 9078,Capsicum annuum L.,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046495,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1046495,Grif 9079,Capsicum annuum L.,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046498,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1046498,Grif 9080,Capsicum annuum L.,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046504,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1046504,PI 675461,Capsicum annuum L.,9.0,,3.0,1.0,3.0,1.0,,1.0,,0.0,7.0,4.0,3.0,3.0,2.0,1.0,,5.0,1.0,1.0,,3.0,5.0,,2.0,,8.5,,33.8,4.5,0.0,3.0,,,9.0,1.0,,,,,,1.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,
1046507,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1046507,Grif 9082,Capsicum annuum L.,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046515,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1046515,Grif 9083,Capsicum annuum L.,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
