id,url,plant_id,latin_name,phytophthora root rot,determinate habit,dwarfism,plant habit,anthocyanin immature fruit,blossom end shape,calyx constriction,calyx margin,calyx shape,corolla spots,fasciculated,filament color,flowers per axil,fruit corkiness,fruit length,fruit neck constriction,fruit pods per node,fruit position,fruit shape,fruit weight,fruit width,immature fruit color,leaf pubescence,leaf texture,locule number,mature fruit color,node anthocyanin,pedicel position at anthesis,peduncle insertion,seed color,stem anthocyanin,stem color,stem number,stem pubescence,stigma exsertion,days to maturity,accession uniformity,commercial category,fruit persistance,fruit set,male sterility,pungency,plant height,plant width,anther color,corolla color,cotyledon color,peduncle length,wall thickness,meloidogyne hapla egg,meloidogyne hapla gall,degree of pungency,image,bacterial leaf spot,cucumber mosiac virus,tobacco etch virus,tobacco mosaic virus,verticillium wilt,verticillium wilt isolate (vdca59),verticillium wilt isolate (vdcf45),capsaicin content,dihydrocpasaicin content,total capsaicinoid content,error,core subset,percent dry weight,beet curly top virus,phytophthora,flower angle,curly top virus,flower habit,fruit color_phy,fruit diameter,fruit surface,immature color,spines,maturation,leaf surface,differential host sets,mosaic virus complex,alfalfa mosaic virus,anthracnose,alpha-linoleic acid (18:3alph),arachidic acid (20:0),behenic acid (22:0),gamma-linoleic acid (18:3gam),linoleic acid (18:2),myristic acid (14:0),oleic acid (18:1),palmitic acid (16:0),palmitoleic acid (16:1),seed oil percentage,stearic acid (18:0),seed shape,seed surface,photoperiod,root knot nematode,southern blight,growth habit,adult stem color,blade pigmentation,bract length in millimeters,branching index,flower color,inflorescence density,inflorescence shape,petiole pigmentation,sex type,terminal inflorescence,hundred seed weight,number of seeds per gram
1136012,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1136012,PI 148631,Capsicum annuum L.,9 - Dead plants,,,,,,,,1 - CUP SHAPED,,,,,,4,,1.0,1 - PENDANT,4 - CONIC,,3,,,,,2 - RED,,,,,,,,,,5 - MEDIUM,,MIX - MIXED,,"4 - (1 = LOW,  9 = HIGH)",,,45,45,,,,,,5 - 26% to 35% visible egg masses present on root system,5 - 26% to 35% of root system galled,5 - PUNGENT,,,9 - SUSCEPTIBLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336543,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1336543,PI 441607,Capsicum chinense Jacq.,,,,,,,,,2 - SAUCER SHAPED,,,,,,3,,3.0,1 - PENDANT,4 - CONIC,2.7,2,,,,,2 - RED,,,,,,,,,,1 - EARLY,,MIX - MIXED,,"5 - (1 = LOW,  9 = HIGH)",,,70,70,,,,,,,,5 - PUNGENT,HARVESTED-FRUIT - Image of harvested fruit,,,,,,,,972.12,199.06,1171.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224942,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1224942,PI 297496,Capsicum annuum L.,"8 - (0 = Resistant, no response, healthy; 9 = Susceptible, dead plants)",,,"7 - (1 = SPRAWLING, 9 = TALL OR UPRIGHT)",0 - ABSENT,1 - POINTED,0 - ABSENT,"3 - (1 = SMOOTH, 9 = SERRATE)",1 - CUP SHAPED,0 - ABSENT,0 - ABSENT,1 - WHITE,1,0 - NONE,10,0 - ABSENT,1.0,1 - PENDANT,1 - ELONGATE,,2,2 - GREEN,,1 - SMOOTH,2,2 - RED,1 - PRESENT,1 - PENDANT,1 - PROTRUDED,1 - STRAW,,1 - GREEN,9 - MULTIPLE,3 - SPARSE,"7 - (1 = INSERTED, 9 = EXSERTED)",5 - MEDIUM,,CAY - CAYENNE,0 - SEPARATING CALYX (HAS Sp GENE),"6 - (1 = LOW,  9 = HIGH)",,1 - PRESENT,45,60,3 - BLUE,1 - WHITE OR PALE YELLOW,,1,,,,5 - PUNGENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1573416,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1573416,PI 640808,Capsicum annuum L.,9 - Dead plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132796,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1132796,PI 125804,Capsicum annuum L.,"8 - (0 = Resistant, no response, healthy; 9 = Susceptible, dead plants)",,,,,,,,2 - SAUCER SHAPED,,,,,,3,,1.0,M - MIXED,3 - ROUND,,3,,,,,2 - RED,,,,,,,,,,8 - LATE,,MIX - MIXED,,"3 - (1 = LOW,  9 = HIGH)",,,30,,,,,,,5 - 26% to 35% visible egg masses present on root system,5 - 26% to 35% of root system galled,5 - PUNGENT,,9 - SUSCEPTIBLE,9 - SUSCEPTIBLE,,,9 - SUSCEPTIBLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336551,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1336551,PI 441615,Capsicum chinense Jacq.,,,,,,,,,2 - SAUCER SHAPED,,,,,,7,,3.0,1 - PENDANT,4 - CONIC,4.3,2,,,,,2 - RED,,,,,,,,,,1 - EARLY,,CHL - CHILI,,"5 - (1 = LOW,  9 = HIGH)",,,50,70,,,,,,,,5 - PUNGENT,HARVESTED-FRUIT - Image of harvested fruit,,,,,,,,127.04,73.14,200.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133246,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1133246,PI 127444,Capsicum annuum L.,"5 - Brown roots, small lesions on stems, lower leaves wilted, stunted plants, partial girdling at stem base",,,,,,,,1 - CUP SHAPED,,,,,,8,,1.0,1 - PENDANT,1 - ELONGATE,,3,,,,,2 - RED,,,,,,,,,,8 - LATE,,PAP - PAPRIKA,,"4 - (1 = LOW,  9 = HIGH)",,,42,,,,,,,6 - 36% to 50% visible egg masses present on root system,6 - 36% to 50% of root system galled,9 - VERY PUNGENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1284047,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1284047,PI 379155,Capsicum annuum L.,9 - Dead plants,,,,,,,,2 - SAUCER SHAPED,,,,,,10,,1.0,1 - PENDANT,4 - CONIC,,4,,,,,2 - RED,,,,,,,,,,5 - MEDIUM,,PAP - PAPRIKA,,"5 - (1 = LOW,  9 = HIGH)",,,70,50,,,,,,,,1 - SWEET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1284046,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1284046,PI 379154,Capsicum annuum L.,,,,,,,,,2 - SAUCER SHAPED,,,,,,16,,1.0,1 - PENDANT,1 - ELONGATE,,4,,,,,2 - RED,,,,,,,,,,5 - MEDIUM,,CHL - CHILI,,"5 - (1 = LOW,  9 = HIGH)",,,40,70,,,,,,,,5 - PUNGENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046526,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1046526,Grif 9085,Capsicum annuum L.,"8 - (0 = Resistant, no response, healthy; 9 = Susceptible, dead plants)",,,9 - TALL OR UPRIGHT,0 - ABSENT,1 - POINTED,0 - ABSENT,"7 - (1 = SMOOTH, 9 = SERRATE)",,0 - ABSENT,0 - ABSENT,2 - PURPLE,1,0 - NONE,,0 - ABSENT,,1 - PENDANT,1 - ELONGATE,,,2 - GREEN,,1 - SMOOTH,2,M - MIXED,1 - PRESENT,"5 - (1 = PENDANT, 9 = ERECT)",1 - PROTRUDED,1 - STRAW,,1 - GREEN,9 - MULTIPLE,5 - INTERMEDIATE,9 - EXSERTED,,,,0 - SEPARATING CALYX (HAS Sp GENE),,,1 - PRESENT,,,3 - BLUE,1 - WHITE OR PALE YELLOW,1 - GREEN,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048247,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1048247,Grif 9374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no features,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906339,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1906339,PI 666455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no features,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047615,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1047615,Grif 9276,Capsicum chinense Jacq.,,0 - ABSENT,0 - ABSENT,9 - TALL OR UPRIGHT,1 - PRESENT,1 - POINTED,1 - PRESENT,"5 - (1 = SMOOTH, 9 = SERRATE)",,0 - ABSENT,0 - ABSENT,2 - PURPLE,2,0 - NONE,5.13,1 - PRESENT,,1 - PENDANT,4 - CONIC,6.1,2.15,1 - DARK GREEN,"7 - (0 = GLABROUS, 9 = EXCESSIVE)","7 - (1 = SMOOTH, 9 = CURLED)",5,5 - ORANGE,0 - ABSENT,9 - ERECT,"3 - (1 = PROTRUDED, 9 = INSERTED)",1 - STRAW,,1 - GREEN,1 - SINGLE,"7 - (0 = GLABROUS, 9 = EXCESSIVE)",5 - SAME LEVEL,,"7 - (1 = LOW - NONE UNIFORM, HIGH - ALL UNIFORM)",,,9 - HIGH,0 - ABSENT,1 - PRESENT,,,3 - BLUE,2 - GREEN WHITE,1 - GREEN,2,,,,,HARVESTED-FRUIT - Image of harvested fruit,,,,,,,,78.12,18.88,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196624,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1196624,PI 257186,Capsicum baccatum L. var. pendulum (Willd.) Eshbaugh,,0 - ABSENT,,"5 - COMPACT, HEIGHT = WIDTH",0 - ABSENT,1 - POINTED,0 - ABSENT,"3 - (1 = SMOOTH, 9 = SERRATE)",2 - SAUCER SHAPED,2 - YELLOW,1 - PRESENT,1 - WHITE,1,0 - NONE,15,1 - PRESENT,1.0,1 - PENDANT,1 - ELONGATE,10.5,4,2 - GREEN,0 - GLABROUS,1 - SMOOTH,3,2 - RED,1 - PRESENT,9 - ERECT,"3 - (1 = PROTRUDED, 9 = INSERTED)",1 - STRAW,1 - PRESENT,1 - GREEN,"5 - (1 = SINGLE, 9 = MULTIPLE)","1 - (0 = GLABROUS, 9 = EXCESSIVE)","3 - (1 = INSERTED, 9 = EXSERTED)",8 - LATE,9 - HIGH (ALL UNIFORM),CHL - CHILI,1 - PERSISTANT CALYX (DOES NOT HAVE Sp GENE),"3 - (1 = LOW,  9 = HIGH)",0 - ABSENT,1 - PRESENT,85,,1 - YELLOW,1 - WHITE OR PALE YELLOW,1 - GREEN,4,0.2,,,5 - PUNGENT,HARVESTED-FRUIT - Image of harvested fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277157,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1277157,PI 370006,Capsicum spp.,,,0 - ABSENT,,0 - ABSENT,5 - BLUNT,1 - PRESENT,"5 - (1 = SMOOTH, 9 = SERRATE)",1 - CUP SHAPED,0 - ABSENT,0 - ABSENT,2 - PURPLE,,0 - NONE,4,0 - ABSENT,1.0,1 - PENDANT,4 - CONIC,1.9,1,2 - GREEN,0 - GLABROUS,1 - SMOOTH,2,2 - RED,1 - PRESENT,,,1 - STRAW,M - MIXED,M - MIXED,,"1 - (0 = GLABROUS, 9 = EXCESSIVE)",5 - SAME LEVEL,8 - LATE,9 - HIGH (ALL UNIFORM),MIX - MIXED,1 - PERSISTANT CALYX (DOES NOT HAVE Sp GENE),"5 - (1 = LOW,  9 = HIGH)",,1 - PRESENT,60,70,3 - BLUE,3 - LAVENDER,,5,,,,5 - PUNGENT,HARVESTED-FRUIT - Image of harvested fruit,,,,,,,,,,,,"Y - YES, ACCESSION IS PART OF THE CORE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276041,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1276041,PI 368441,Capsicum annuum L.,9 - Dead plants,,,,,,,,2 - SAUCER SHAPED,,,,,,9,,1.0,1 - PENDANT,6 - BELL,,5,,,,,2 - RED,,,,,,,,,,1 - EARLY,,BEL - BELL,,"5 - (1 = LOW,  9 = HIGH)",,,30,30,,,,,,,,1 - SWEET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047603,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1047603,Grif 9274,Capsicum chinense Jacq.,,0 - ABSENT,0 - ABSENT,9 - TALL OR UPRIGHT,1 - PRESENT,1 - POINTED,1 - PRESENT,1 - SMOOTH,,0 - ABSENT,0 - ABSENT,2 - PURPLE,3,0 - NONE,6.3,0 - ABSENT,,1 - PENDANT,1 - ELONGATE,7,2.24,2 - GREEN,"7 - (0 = GLABROUS, 9 = EXCESSIVE)","5 - (1 = SMOOTH, 9 = CURLED)",4,M - MIXED,0 - ABSENT,"5 - (1 = PENDANT, 9 = ERECT)","3 - (1 = PROTRUDED, 9 = INSERTED)",1 - STRAW,,1 - GREEN,1 - SINGLE,"7 - (0 = GLABROUS, 9 = EXCESSIVE)","7 - (1 = INSERTED, 9 = EXSERTED)",,9 - HIGH (ALL UNIFORM),,,"3 - (1 = LOW,  9 = HIGH)",0 - ABSENT,1 - PRESENT,,,3 - BLUE,1 - WHITE OR PALE YELLOW,1 - GREEN,3,,,,,HARVESTED-FRUIT - Image of harvested fruit,,,,,,,,147.7,104.01,251.71,,,16.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135611,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1135611,PI 142833,Capsicum annuum L.,"5 - Brown roots, small lesions on stems, lower leaves wilted, stunted plants, partial girdling at stem base",,,,,,,,2 - SAUCER SHAPED,,,,,,8,,1.0,1 - PENDANT,6 - BELL,,5,,,,,2 - RED,,,,,,,,,,5 - MEDIUM,,BEL - BELL,,"3 - (1 = LOW,  9 = HIGH)",,,65,75,,,,,,5 - 26% to 35% visible egg masses present on root system,5 - 26% to 35% of root system galled,1 - SWEET,,9 - SUSCEPTIBLE,9 - SUSCEPTIBLE,,,9 - SUSCEPTIBLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1336501,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1336501,PI 441565,Capsicum baccatum L. var. pendulum (Willd.) Eshbaugh,,,0 - ABSENT,,,,,,1 - CUP SHAPED,2 - YELLOW,,1 - WHITE,,,11,,1.0,1 - PENDANT,1 - ELONGATE,,1,3 - GREEN YELLOW,0 - GLABROUS,1 - SMOOTH,,2 - RED,1 - PRESENT,,,,0 - ABSENT,M - MIXED,,3 - SPARSE,5 - SAME LEVEL,9 - VERY LATE,9 - HIGH (ALL UNIFORM),CAY - CAYENNE,,"5 - (1 = LOW,  9 = HIGH)",,,110,110,1 - YELLOW,1 - WHITE OR PALE YELLOW,,5,,,,5 - PUNGENT,,,,,,,,,35.7,15.1,50.8,,"Y - YES, ACCESSION IS PART OF THE CORE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265282,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1265282,PI 355819,Capsicum chinense Jacq.,,,,,,,,,2 - SAUCER SHAPED,,,,,,5,,1.0,1 - PENDANT,,10.4,3,,,,,2 - RED,,,,,,,,,,9 - VERY LATE,,MIX - MIXED,,"5 - (1 = LOW,  9 = HIGH)",,,60,60,,,,,,,,1 - SWEET,HARVESTED-FRUIT - Image of harvested fruit,,,,,,,,16.25,24.61,40.86,,,13.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
